Date,Temperature
2021-01-01,25.993428306022466
2021-01-02,24.861178246904306
2021-01-03,26.570749969183353
2021-01-04,28.45901705060208
2021-01-05,25.082112664971888
2021-01-06,25.21944447600121
2021-01-07,28.983239210594263
2021-01-08,27.496533817500637
2021-01-09,25.159281405036214
2021-01-10,27.31959065248618
2021-01-11,25.443509767826896
2021-01-12,25.57435417160544
2021-01-13,27.124760542081024
2021-01-14,22.948811614717727
2021-01-15,23.459546463021535
2021-01-16,25.91825130244755
2021-01-17,25.150003019603997
2021-01-18,27.93635412823542
2021-01-19,25.623321646207888
2021-01-20,24.745549890868332
2021-01-21,30.631480734596014
2021-01-22,27.377856376437904
2021-01-23,28.092852752501233
2021-01-24,25.235810877521942
2021-01-25,27.123138464597417
2021-01-26,28.559394000318264
2021-01-27,26.160217585558843
2021-01-28,29.337230770614628
2021-01-29,27.507124787385198
2021-01-30,28.246483221339755
2021-01-31,27.746791176821027
2021-02-01,32.77392391983471
2021-02-02,29.160330409448534
2021-02-03,27.188619514394595
2021-02-04,31.064572329547335
2021-02-05,27.091926750386897
2021-02-06,30.06412937763992
2021-02-07,25.838473247926558
2021-02-08,27.211442863124148
2021-02-09,30.370096459265188
2021-02-10,31.56039156711224
2021-02-11,30.53177305065979
2021-02-12,30.061780381161743
2021-02-13,29.793341559484986
2021-02-14,27.53937815705448
2021-02-15,29.15597819962376
2021-02-16,29.77197543633462
2021-02-17,32.90339675880513
2021-02-18,31.570572762848805
2021-02-19,27.449696390846974
2021-02-20,31.71461440661809
2021-02-21,30.385154054238868
2021-02-22,29.888522807954285
2021-02-23,32.55091783173595
2021-02-24,33.47288775038931
2021-02-25,33.35487271029128
2021-02-26,29.893377379974037
2021-02-27,31.030940259224035
2021-02-28,32.38747410788295
2021-03-01,33.74962698646494
2021-03-02,30.911763190515842
2021-03-03,31.56833288450914
2021-03-04,29.794463693141886
2021-03-05,29.68012683138557
2021-03-06,33.76090241646479
2021-03-07,34.9095270143596
2021-03-08,32.11209025926042
2021-03-09,34.32008970126672
2021-03-10,33.09104235182834
2021-03-11,31.130093959423323
2021-03-12,33.19348904160023
2021-03-13,35.5949215964671
2021-03-14,32.49311902119724
2021-03-15,35.73773944198924
2021-03-16,27.410388404555754
2021-03-17,34.332843279728856
2021-03-18,32.90001363771518
2021-03-19,32.16249667388032
2021-03-20,32.97632519445037
2021-03-21,28.847648902843467
2021-03-22,32.411107986497846
