Index,Value
0,0.0
1,0.10003281427313471
2,0.19906212708288032
3,0.2960945038143548
4,0.39015654256185667
5,0.48030463902695286
6,0.5656344524952308
7,0.6452899779316593
8,0.7184721331858132
9,0.7844467751624975
10,0.8425520645417729
11,0.8922051051675485
12,0.9329077915002397
13,0.9642518054734649
14,0.9859227126277004
15,0.9977031164296156
16,0.9994748391338337
17,0.9912201073093126
18,0.9730217301374795
19,0.9450622686934766
20,0.9076222045440632
21,0.8610771260342868
22,0.8058939604893209
23,0.7426262901289721
24,0.6719087986843052
25,0.594450904426391
26,0.5110296434788618
27,0.4224818748069167
28,0.3296958850801638
29,0.23360247762698433
30,0.135165634873565
31,0.03537284793941688
32,-0.06477478959979849
33,-0.1642726244055165
34,-0.2621225217800676
35,-0.3573428786772774
36,-0.44897847087212456
37,-0.5361100355053741
38,-0.6178634928737592
39,-0.6934187149552652
40,-0.7620177527061076
41,-0.82297243959543
42,-0.8756712951011836
43,-0.9195856589132163
44,-0.9542749943069602
45,-0.9793913074857347
46,-0.9946826385580477
47,-0.9999955891293857
48,-0.9952768611523826
49,-0.9805737915980582
50,-0.9560338775844459
51,-0.9219032967263918
52,-0.8785244375499641
53,-0.8263324647456687
54,-0.7658509537169058
55,-0.6976866382166587
56,-0.62252332376267
57,-0.5411150278900442
58,-0.4542784160563504
59,-0.3628846090801308
60,-0.26785044429833255
61,-0.17012927810828674
62,-0.07070142216060954
63,0.029435690855533707
64,0.12927751318067776
65,0.2278224593297113
66,0.32408195371982385
67,0.4170903477867187
68,0.5059146071033245
69,0.5896636713225298
70,0.6674973930475833
71,0.738634965957881
72,0.8023627576415389
73,0.8580414685579225
74,0.9051125453134257
75,0.9431037839142828
76,0.9716340667861363
77,0.9904171860398961
78,0.9992647146299466
79,0.9980878966020337
80,0.9868985374683961
81,0.9658088857781382
82,0.9350305070709015
83,0.8948721615100165
84,0.8457367064861362
85,0.7881170552635628
86,0.7225912322110182
87,0.6498165742214111
88,0.5705231364903367
89,0.4855063688047307
90,0.39561913581111247
91,0.30176316131385944
92,0.20487998243196784
93,0.10594150435966843
94,0.005940250482940325
95,-0.0941205943399772
96,-0.19323724745099155
97,-0.2904153980615259
98,-0.3846801819027346
99,-0.47508596079360793
100,-0.5607258090210648
101,-0.6407406113673145
